name,type,region,city,address,phones,emails,website,chief_physician,pathology_head,nmic_ref,source_url,verification_status
ФГБУ «НМИЦ АГП им. В.И. Кулакова» Минздрава России,nmic,Москва,Москва,"ул. Академика Опарина, 4",+74955314444,info@oparina4.ru,https://ncagp.ru,,,,https://ncagp.ru/,verified
ГБУЗ ВО «Областной перинатальный центр»,perinatal_center_regional,Владимирская область,Владимир,"ул. Константино-Еленинский проезд, д.1",+74922445858,post@opc33.ru,https://opc33.ru,,,,https://opc33.ru/,verified
ГБУ «Перинатальный центр» Ростовской области,perinatal_center_regional,Ростовская область,Ростов-на-Дону,"ул. Бодрая, 90",+78632855979;+78632851004,perinatal-rost@mail.ru,https://perinatal-rostov.ru,,,,https://perinatal-rostov.ru/kontaktyi.html,verified
КОГБУЗ «Кировский областной клинический перинатальный центр»,perinatal_center_regional,Кировская область,Киров,"ул. Московская, д.163",+78332555300,mail@pncenter.ru,https://pncenter.ru,Семеновский Н.В.,,,https://pncenter.ru/,verified
Перинатальный центр,perinatal_center,Москва,Москва,"улица Саляма Адиля, 2/44 с4, район Хорошёво-Мнёвники",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/relation/7565015,pending
Перинатальный центр,perinatal_center,Татарстан,Казань,"Оренбургский тракт, 138 кД, Медгородок",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/way/95853006,pending
Перинатальный центр,perinatal_center,Краснодарский край,Сочи,"Пластунская улица, 22, Ареда",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/way/534598859,pending
Перинатальный центр,perinatal_center,Свердловская область,Екатеринбург,"улица Антона Валека, Заречный",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/node/694307770,pending
Перинатальный центр,perinatal_center,Калининградская область,Калининград,"улица Каштановая Аллея, Район Амалиенау",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/node/1235811962,pending
Перинатальный центр,perinatal_center,Новосибирская область,Новосибирск,"улица Немировича-Данченко, 130 к12",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/way/530449606,pending
Перинатальный центр,perinatal_center,Приморский край,Владивосток,улица Борисенко,,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/node/5146635121,pending
Перинатальный центр (родильный дом),maternity_hospital,Волгоградская область,Волгоград,"улица Маршала Василевского, Горная Поляна",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/way/150797476,pending
Перинатальный центр,perinatal_center,Краснодарский край,Краснодар,"Площадь Победы, 1 к6",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/way/173905489,pending
Перинатальный центр,perinatal_center,Воронежская область,Воронеж,"Московский проспект, 151Б",,,,,,НМИЦ АГП им. В.И. Кулакова,https://www.openstreetmap.org/way/162181410,pending
